Oasis,Versions,File Type,
"5-5-2000 / Atlanta, GA / Music Midtown",AUD,FLAC,
"5-8-2000 / Mexico City, MX / Sports Palace",AUD,FLAC,
"5-17-2000 / Lisbon, Portugal / Praca Sony",AUD,FLAC,
"5-30-2000 / Milan, Italy / Forum",AUD,FLAC,
"6-2-2000 / Vienna, Austria / Wiener Stadthalle",AUD,FLAC,
"6-3-2000 / Leipzig, Germany / Wiener Haus Auensee",AUD,FLAC,
"6-7-2000 / Berlin, Germany / Arena",AUD,FLAC,
"6-10-2000 / Landgraaf, Holland / Pinkpop Festival",SBD,FLAC,
"6-11-2000 / Nurnberg, Germany / Rock im Park",FM,FLAC,
"6-11-2000 / Nurnberg, Germany / Rock im Park",AUD,FLAC,
"6-15-2000 / Hultsfred, Sweden / Hultsfred Festival",FM,FLAC,
"6-19-2000 / Marseilles, France / Le Dome",SBD,FLAC,
"6-19-2000 / Marseilles, France / Le Dome",AUD,FLAC,
"6-21-2000 / Paris, France / Fete de la Musique",AUD,FLAC,
"6-22-2000 / Hamburg, Germany / Sporthalle",AUD,FLAC,
"6-30-2000 / Werchter, Germany / Werchter Festival",FM,FLAC,
"7-2-2000 / Turku, Finland / Ruisrock Festival",AUD,FLAC,
"7-4-2000 / Barcelona, Spain / Palacio de la Comunidad",AUD,FLAC,
"7-6-2000 / Kristiansand, Norway / Quart Festival ",AUD #1,FLAC,
"7-6-2000 / Kristiansand, Norway / Quart Festival ",AUD #2,FLAC,
"7-8-2000 / Dublin, Ireland / Lansdowne Road",AUD #2,FLAC,
"7-8-2000 / Dublin, Ireland / Lansdowne Road",AUD #2,FLAC,
"7-8-2000 / Dublin, Ireland / Lansdowne Road",AUD alt,FLAC,
"7-9-2000 / Belfort, France / Eurockeennes Festival",AUD,FLAC,
"7-15-2000 / Bolton, UK / Reebok Stadium",AUD,FLAC,
"7-16-2000 / Bolton, UK / Reebok Stadium",AUD,FLAC,
"7-21-2000 / London, UK / Wembley Stadium",AUD,FLAC,
"7-22-2000 / London, England / Wembley Stadium",SBD,FLAC,
"7-22-2000 / London, England / Wembley Stadium",AUD,FLAC,
"7-26-2000 / Nyon, Switzerland / Paleo Festival",FM,FLAC,
"7-29-2000 / Edinburgh, Scotland / Murrayfield Stadium",AUD,FLAC,
"8-4-2000 / Binicassim, Spain / Festival",FM,FLAC,
"8-6-2000 / Odemira, Portugal / Sudoeste Festival - Zambujeira do Mar",AUD,FLAC,
"8-6-2000 / Odemira, Portugal / Sudoeste Festival ",AMT,DVD,
"8-8-2000 / Budapest, Hungary / Sziget Festival *All Around Budapest 2000",Silver CD,FLAC,
"8-8-2000 / Budapest, Hungary / Sziget Festival",AUD,FLAC,
"8-12-2000 / Skandorborg, Denmark / Skanderborg Festival",AUD,FLAC,
"8-23-2000 / Gijon, Spain / Gijon Festival",SBD,FLAC,
"8-25-2000 / Reading, England / Reading Festival",AUD,FLAC,
"8-26-2000 / Glasgow, Scotland / Glasgow Green Festival",AUD,FLAC,
8-28-2000 / Leeds / Leeds Festical Bramham Park (Radio 1 FM),FM,FLAC,
8-28-2000 / Leeds / Leeds Festical Bramham Park ,AUD,FLAC,
"11-13-2000 / Dublin, Ireland / Vicar Street",AUD,FLAC,
,,,
[2001],,,
"1-14-2001 / Rio de Janeiro, Brazil / Rock in Rio Festival",SBD,FLAC,
"1-18-2001 / Buenos Aires, Argentina / Hot Festival",AUD,FLAC,
"1-18-2001 / Buenos Aires, Argentina / Hot Festival",TV,FLAC,
"1-18-2001 / Buenos Aires, Argentina / Hot Festival (Sky TV)",TV,FLAC,
"5-11-2001 / Las Vegas, NV / The Joint",AUD,FLAC,
"5-14-2001 / Los Angeles, CA / Greek Theater",AUD,FLAC,
"5-14-2001 / Los Angeles, CA / Greek Theater (the v.u.)",AUD,FLAC,
"5-15-2001 / Los Angeles, CA / Greek Theater",TV,FLAC,
"5-15-2001 / Los Angeles, CA / Greek Theater",AUD,FLAC,
"5-17-2001 / Denver, CO / Fiddler's Green *Brotherly Love",Silver CD,FLAC,
"5-17-2001 / Denver, CO / Fiddler's Green *Brotherly Love (v2)",Silver CD,FLAC,
"5-19-2001 / St. Paul, MN / Xcal Energy Center",AUD,FLAC,
"5-20-2001 / Chicago, IL / New World Music Theater",AUD,FLAC,
"5-22-2001 / Toronto, Ontario / Molson Amphitheatre",FM,FLAC,
"5-22-2001 / Toronto, Ontario / Molson Amphitheatre",AUD,FLAC,
"5-25-2001 / Cleveland, OH / Blossom Music Center",AUD,FLAC,
"5-27-2001 / Hartford, CT / Oakdale Theater",AUD,FLAC,
"5-30-2001 / Camden, NJ / Tweeter Waterfront Center",AUD,FLAC,
"6-1-2001 / Indianapolis, IN / Verizon Wireless Music",AUD,FLAC,
"6-2-2001 / Detroit, MI / Pine Knob Music Theater",AUD,FLAC,
"6-7-2001 / New York, NY / Radio City Music Hall",AUD,FLAC,
"6-7-2001 / New York, NY / Radio City Music Hall (upgrade)",AUD,FLAC,
"6-8-2001 / New York, NY / Radio City Music Hall",AUD,FLAC,
"6-9-2001 / New York, NY / Radio City Music Hall",AUD,FLAC,
"6-11-2001 / Boston, MA / Tweeter Center",AUD,FLAC,
"6-11-2001 / Boston, MA / Tweeter Center",MTX,FLAC,
"6-24-2001 / Paris, France / The Bercy",AUD,FLAC,
"6-27-2001 / Fuji, Japan / Naeba Resort - Fuji Rock Festival",SBD,FLAC,
"7-27-2001 / Naeba, Japan / Fuji Rock Festival",TV,FLAC,
"7-27-2001 / Naeba, Japan / Fuji Rock Festival",AUD,FLAC,
"10-7-2001 / London, UK / Shepherds Bush Empire (inc)",AUD,FLAC,
"10-10-2001 / Manchester, England / Apollo",AUD,FLAC,
"10-11-2001 / Manchester, England / Apollo",AUD,FLAC,
"10-13-2001 / Glasgow, Scotland / Barrowlands",AUD,FLAC,
"10-13-2001 / Glasgow, Scotland / Barrowlands",TV,FLAC,
"10-14-2001 / Glasgow, Scotland / Barrowlands",AUD,FLAC,
"12-12-2001 / London, UK / Royal Albert Hall",AUD,FLAC,
,,,
[2002],,,
"2-5-2002 / Watford, UK / Coliseum",AUD,FLAC,
"2-6-2002 / London, UK / Royal Albert Hall",AUD,FLAC,
"2-9-2002 / London, UK / Royal Albert Hall",AUD,FLAC,
2-10-2002 / Berlin / Columbiahalle,SBD,FLAC,
2-10-2002 / Berlin / Columbiahalle,TV,FLAC,
"4-11-2002 / London, UK / Top of the Pops",SBD,FLAC,
"4-28-2002 / Indio, CA / Empire Polo Field - Coachella Festival",AUD #1,FLAC,
"4-28-2002 / Indio, CA / Empire Polo Field - Coachella Festival",AUD #2,FLAC,
"5-1-2002 / Rome, Italy / Piazza San Giovanni in Laterano",TV,FLAC,
"5-23-2002 / Tokyo, Japan / MTV Superdry Live",AUD,FLAC,
"5-23-2002 / Tokyo, Japan / MTV Superdry Live",TV,FLAC,
"5-23-2002 / Tokyo, Japan / MTV Superdry Live",MTX,FLAC,
"6-17-2002 / Lyon, France / Transbordeur",AUD,FLAC,
"6-19-2002 / Barcelona, Spain / Razzmatazz",AUD,FLAC,
"6-24-2002 / Berlin, Germany / Columbiahalle",AUD,FLAC,
"6-24-2002 / Berlin, Germany / Columbiahalle - DAT(M) (Wardour-448)",AUD,FLAC,
"6-26-2002 / Stockholm, Sweden / Circus",AUD,FLAC,
"6-29-2002 / Belfast, Germany / Odyssey Arena",FM,FLAC,
"6-29-2002 / Belfast, Germany / Odyssey Arena",AUD,FLAC,
"6-30-2002 / Belfast, Ireland / Odyssey Arena",SBD,FLAC,
"7-2-2002 / Hull, UK / Arena",AUD,FLAC,
"7-5-2002 / London, UK / Finsbury Park",AUD,FLAC,
"7-6-2002 / London, UK / Finsbury Park",AUD,FLAC,
"7-7-2002 / London, UK / Finsbury Park",FM,FLAC,
"7-10-2002 / Newcastle, UK / Telewest Arena",AUD,FLAC,
"7-11-2002 / Newcastle, UK / Telewest Arena",AUD,FLAC,
"7-13-2002 / Kinross, Scotland / T in the Park Festival",FM,FLAC,
7-14-2002 / Ireland / Witness Festival (Main Stage),FM,FLAC,
7-14-2002 / Ireland / Witness Festival (Main Stage),AUD,FLAC,
"7-16-2002 / Vicenza, Italy  / Stadio Comunale (inc)",AUD,FLAC,
"7-17-2002 / Lucca, Italy / Piazza Napoleone",AUD,FLAC,
"7-19-2002 / Bern, Switzerland / Gurten Festival",FM,FLAC,
"7-21-2002 / Mallorca, Spain / Festival Isladencanta",AUD,FLAC,
"7-24-2002 / Vigo, Spain / Parque de Castrelos",AUD,FLAC,
"7-26-2002 / Rome, Italy / Foro Italico Del Tennis Stadium",AUD,FLAC,
"7-27-2002 / Rome, Italy / Foro Italico Del Tennis Stadium",AUD,FLAC,
"8-2-2002 / Ft. Lauderdale, FL / Pompano Beach Amphitheater",AUD,FLAC,
"8-5-2002 / Atlanta, GA / Tabernacle",AUD,FLAC,
"8-11-2002 / New York, NY / Roseland Ballroom",AUD,FLAC,
"8-17-2002 / Toronto, Ontario / Molson Amphitheatre",AUD,FLAC,
"8-20-2002 / Chicago, IL / Chicago Theater",AUD,FLAC,
"8-21-2002 / Detroit, MI / Fox Theater",AUD,FLAC,
"9-10-2002 / Aberdeen, Scotland / Exhibition & Conference Centre",FM,FLAC,
"9-10-2002 / Aberdeen, Scotland / Exhibition & Conference Centre",SBD,FLAC,
"9-14-2002 / Manchester, UK / Lancashire County Cricket Club",AUD,FLAC,
"9-14-2002 / Manchester, UK / Lancashire County Cricket Club",AUD,DVD,
"9-15-2002 / Manchester, UK / Lancashire County Cricket Club",AUD,FLAC,
"9-17-2002 / Paris, France / Zenith",AUD,FLAC,
"9-25-2002 / Tokyo, Japan / Yoyogi Taiikukan",AUD,FLAC,
"9-26-2002 / Tokyo, Japan / Yoyogi Taiikukan",AUD,FLAC,
"9-28-2002 / Tokyo, Japan / Yoyogi Taiikukan",AUD,FLAC,
"9-29-2002 / Tokyo, Japan / Yoyogi Taiikukan",AUD,FLAC,
"9-29-2002 / Tokyo, Japan / Yoyogi Taiikukan",SBD,FLAC,
"9-29-2002 / Tokyo, Japan / Yoyogi Taiikukan",TV,FLAC,
"9-29-2002 / Tokyo, Japan / Yoyogi National Stadium - 1st Gymnasium (james 2020 remaster)",MTX,FLAC,
"10-1-2002 / Fukuoka, Japan / Kokusai Center",AUD,FLAC,
"10-2-2002 / Osaka, Japan / Castle Hall",AUD,FLAC,
"10-3-2002 / Osaka, Japan / Castle Hall",AUD,FLAC,
"10-5-2002 / Sendai, Japan / Miyagi-ken Taiikukan",AUD,FLAC,
"10-7-2002 / Hiroshima, Japan / Sun Plaza",AUD,FLAC,
"10-11-2002 / Sydney, Australia / Enmore Theatre",AUD,FLAC,
"10-12-2002 / Brisbane, Australia / Livid Festival",AUD,FLAC,
"10-14-2002 / Canberra, Australia / Royal Theatre",AUD,FLAC,
"10-17-2002 / Melbourne, Australia / The Forum",AUD,FLAC,
"10-20-2002 / Sydney, Australia / Moore Park - Livid Festival",AUD,FLAC,
"11-10-2002 / Nottingham, UK / Arena",AUD,FLAC,
"11-11-2002 / Nottingham, UK / Arena",AUD,FLAC,
"11-13-2002 / Glasgow, Scotland / Braehead Arena",AUD,FLAC,
"11-16-2002 / Lille, France / Zenith",AUD,FLAC,
"11-17-2002 / Rennes, France  / Le Liberte",AUD,FLAC,
"11-19-2002 / Salamanca, Spain / Pabellon Wurtzburg",AUD,FLAC,
"11-20-2002 / Bilbao, Spain / Pabellon de la Casilla",AUD,FLAC,
"11-22-2002 / Milan, Italy / Forum",AUD,FLAC,
"11-23-2002 / Pesaro, Italy / PBA Palas",AUD,FLAC,
"11-25-2002 / Zurich, Switzerland / Hallenstadion",AUD,FLAC,
"12-8-2002 / Cardiff, Wales / International Arena",AUD,FLAC,
"12-12-2002 / Plymouth, UK / Pavilions",AUD,FLAC,
"12-14-2002 / Sheffield, UK / Arena",AUD,FLAC,
"12-16-2002 / Liverpool, England / Royal Court",AUD,FLAC,
"12-18-2002 / Birmingham, UK / National Indoor Arena",AUD,FLAC,
"12-19-2002 / Birmingham, UK / National Indoor Arena",AUD,FLAC,
,,,
[2003],,,
"3-5-2003 / Dublin, Ireland / Point Theatre",AUD,FLAC,
"3-5.6-2003 / Dublin, Ireland / Point Theatre (2020 remaster) (unidexter)",AUD,FLAC,
"3-6-2003 / Dublin, Ireland / Point Theatre",AUD,FLAC,
"3-8-2003 / Hamburg, Germany / Colorline Arena",AUD,FLAC,
"3-9-2003 / Dusseldorf, Germany / Philipshalle",AUD,FLAC,
"3-11-2003 / Munchen, Germany / Zenith",AUD,FLAC,
"3-12-2003 / Berlin, Germany / Berlin Arena",AUD,FLAC,
"3-26-2003 / London, UK / Royal Albert Hall - Teenage Cancer Trust",AUD,FLAC,
"4-4-2003 / London, England / Top of the Pops",SBD,FLAC,
"5-3-2003 / Liverpool, UK / Zanziber Club",AUD,FLAC,
,,,
[2004],,,
XX-XX-2004 / *Don't Believe the Truth,,FLAC,
XX-XX-2004 / *Don't Believe The Truth [Session Versions],,M4A,
"6-23-2004 / Poole, England / The Lighthouse (Soundcheck) (Icom IC-R5) (petrock2000)",AUD,FLAC,
"6-23-2004 / Dorset, UK, / Poole Lighthouse (johnky master)",AUD,FLAC,
"6-23-2004 / Dorset, UK, / Poole Lighthouse",MTX,FLAC,
"6-24-2004 / Somerset, England / Glastonbury Festival - Pyramid Stage",PRO,DVD,
6-25-2004 / United Kingdom / Glastonbury Festival,TV,FLAC,
6-25-2004 / United Kingdom / Glastonbury Festival,SBD,FLAC,
6-25-2004 / United Kingdom / Glastonbury Festival,AUD,FLAC,
,,,
[2005],,,
5-6-2005 / United Kingdom / Jonathan Ross Show,TV,DVD,
"5-12-2005 / Milan, Italy / Alcatraz",SBD,FLAC,
"5-12-2005 / Milan, Italy / Alcatraz",AUD,FLAC,
"5-15-2005 / Edinburgh, Scotland / Usher Hall",AUD,FLAC,
"5-22-2005 / London, UK / Clapham Grand",FM,FLAC,
"5-22-2005 / London, UK / Clapham Grand",AUD,FLAC,
"5-23-2005 / Paris, France / Olympia",AUD,FLAC,
"5-25-2005 / London, UK / Coronet Club",AUD,FLAC,
"5-25-2005 / London, UK - Coronet Club (Sony MZR-55) (inc)",AUD,FLAC,
"5-26-2005 / London, UK / Carling Apollo Hammersmith",AUD,FLAC,
"6-4-2005 / Brussel, Belgium / Ancienne Belgique",FM,FLAC,
"6-4-2005 / Brussels, Belgium / Ancienne Belgique *Better Days That Have Yet To Come (FM Mix)",FM,FLAC,
"6-10-2005 / Eichenring, Scheeßel, Germany / Hurricane Festival",TV,FLAC,
6-11-2005 / Neuhasen Obeck Nr Tuttlingen / Southside Festival,Webrip,FLAC,
"6-12-2005 / Imola, Italy / Heineken Jammin Festival",AUD,FLAC,
"6-15-2005 / Toronto, Ontario / Secret Acoustic Gig (102.1 CFNY 'The Edge' Broadcast",FM,FLAC,
"6-17-2005 / Toronto, Ontario / Molson Amphitheater",AUD,MP3,
"6-18-2005 / Detroit, MI / Meadow Brook Amphitheatre",AUD,FLAC,
"6-18-2005 / Detroit, MI / Meadow Brook Amphitheatre",,FLAC,
"6-20-2005 / Chicago, IL / UIC Pavilion",AUD,FLAC,
"6-20-2005 / Chicago, IL / UIC Pavilion",,FLAC,
"6-22-2005 / New York, NY / Madison Square Garden",AUD,FLAC,
"6-24-2005 / Boston, MA / Tweeter Center",FM,FLAC,
"6-24-2005 / Boston, MA / Tweeter Center",AUD,FLAC,
"6-29-2005 / Glasgow, Scotland / Hampden Park",AUD,FLAC,
"6-30-2005 / Manchester, England / City of Manchester Stadium",AUD,FLAC,
"7-2-2005 / Manchester, England / City of Manchester Stadium",TV,FLAC,
"7-2-2005 / Manchester, England / City of Manchester Stadium (Liam's IEM) ",IEM,FLAC,
"7-3-2005 / Manchester, England / City of Manchester Stadium",AUD,FLAC,
"7-10-2005 / Milton Keynes, UK / Milton Kenyes National Bowl",AUD,FLAC,
"7-12-2005 / Newcastle, UK / Metro Arena",AUD,FLAC,
"7-16-2005 / Dublin, Ireland / Marlay Park",AUD,FLAC,
"8-5-2005 / Odemira, Portugal / Sudoeste Festival",AUD,FLAC,
"8-7-2005 / Benicassim, Spain / Benicassim Festival",TV,FLAC,
"8-11-2005 / Nagoya, Japan / Summer Sonic Eve Show",AUD,FLAC,
"8-13-2005 / Osaka, Japan / Open Air and Intex - Summer Sonic Festival",AUD,FLAC,
"8-14-2005 / Tokyo, Japan / Marine Stadium & Messe",AUD,FLAC,
"8-14-2005 / Tokyo, Japan / Marine Stadium & Messe",,FLAC,
"8-20-2005 / Chelmsford, UK / Hylands Park - V Festival (johnky)",AUD,FLAC,
"9-8-2005 / Vancouver, BC / General Motors Place (unk) ",AUD,FLAC,
"9-9-2005 / Everett, WA / Everett Event Center / 107.7 The End",preFM,FLAC,
"9-12-2005 / Hollywood, CA / Hollywood Bowl (DSM6) (unk)",AUD,FLAC,
"9-18-2005 / Phoenix, AZ / Dodge Theater (sotasty8)",AUD,FLAC,
"9-22-2005 / Dallas, TX / Smirnoff Music Centre (CoreSound LC) (mike rowefoen)",AUD,FLAC,
"9-30-2005 / Cleveland, OH / Blossom Music Center (CSB) (galen master)",AUD,FLAC,
"10-27-2005 / Frankfurt, Germany / Jahunderthalle (unk) ",AUD,FLAC,
"11-4-2005 / Barcelona, ESP / Pavellu de la Vall d'Hebron *The Importance of Barca Idle (johnky)",AUD,FLAC,
"11-20-2005 / Tokyo, Japan / Yoyogi Taiikukan",AUD,FLAC,
"12-10-2005 / Cardiff, UK / Millenium Stadium (oasisgiants) (2014 Mix)",MTX,FLAC,
"12-10-2005 / Cardiff, UK / Millennium Stadium (Sony MZR-55 + Icom IC-R5 + AT831b) (oasis giants, petrock2000, john keaveney) (2025 Mix)",,,
"12-22-2005 / Dublin, Ireland / The Point Depot",AUD,FLAC,
,,,
[2006],,,
"1-26-2006 / Stockholm, SWE / The Hovet (AT831b) (johnky) ",AUD,FLAC,
"1-26-2006 / Stockholm, SWE / The Hovet (Vivanco) (wiltteri)",AUD,FLAC,
"2-6-2006 / Florence, Italy / Mandela Forum - DAT(x)",AUD,FLAC,
"3-10-2006 / Buenos Aires, Argentina / Hot Festival - Polo Field",preFM,FLAC,
"3-12-2006 / Santiago, Chile / Veludromo del Estadio Nacional",AUD,FLAC,
"3-20-2006 / Toronto, ON / Air Canada Centre (CSC) (burnboy) ",AUD,FLAC,
"3-22-2006 / Milwaukee, WI / The Riverside Theatre (CSB) (ryan teske)",AUD,FLAC,
"3-22-2006 / Milwaukee, WI / The Riverside Theater (SP-CMC-12) (matt krueger) ",AUD,FLAC,
"3-31-2006 / Mexico City, MX / Sports Palace",AUD,FLAC,
"3-31-2006 / Mexico City, MX / Sports Palace",,FLAC,
"11-15-2006 / Tokyo, Japan / Ebisu Liquidroom *The Three Sons (Secret Gigs)",Silver CD,FLAC,
,,,
[2008],,,
"8-14-2008 / London, UK / Black Island Studios",SBD,FLAC,
"8-14-2008 / London, UK / Black Island Studios",PRO,MKV,
"8-26-2008 / Seattle, WA / WaMu Theater (SS-DSM6S/L) (b.c.)",AUD,FLAC 24,
"8-26-2008 / Seattle, WA / WaMu Theater (CA-11) (oasisdouglas)",AUD,FLAC,
"8-26-2008 / Seattle, WA / WaMu Theater (CA-11 + SS-DSM-6S/L) (james remaster)",MIX,FLAC,
"8-27-2008 / Vancouver, BC / General Motors Place (Griffin iTalk Pro mic) (unk) ",AUD,FLAC,
"9-7-2008 / Toronto, Ontario / Virgin Festival",FM,FLAC,
"10-7-2008 / Liverpool, England / Echo Arena - DAT(M) (tommybagnall)",AUD,FLAC,
"10-13-2008 / Birmingham, UK / The NIA (DPA4061s) (tommybagnall) ",AUD,FLAC,
"10-16-2008 / London, UK / Wembley Arena",TV,FLAC,
"10-16-2008 / London, UK / Wembley Arena",,DVD,
"10-17-2008 / London, UK / Wembley Arena",AUD,FLAC,
"10-24-2008 / Cardiff, Wales / International Arena (DPA 4061s) (tommybagnall)",AUD,FLAC,
"10-26-2008 / London, UK / The Roundhouse *The Magical Mystery",SBD,FLAC,
"11-4-2008 / Glasgow, Scotland / SECC (AT831b) (johnky)",AUD,FLAC,
"11-5-2008 / Glasgow, Scotland / SECC",FM,FLAC,
"11-7-2008 / Koeln, Deutschland / Gloria",FM,FLAC,
"11-8-2008 / Copenhagen, Denmark / Falkoner Theatre (Church Cardiods) (nb)",AUD,FLAC,
"11-8-2008 / Copenhagen, Denmark / Falkoner Theatre *Pray for the Light",SBD,FLAC,
"11-10-2008 / Paris, France / Le Bataclan (France Inter Broadcast) (ldb)",FM,FLAC,
"11-26-2008 / Mexico City, Mexico / Palacio de los Deportes",AUD,FLAC,
"11-29-2008 / Monterrey, Mexico / Arena Monterrey - AUD(M) (unk) ",AUD,DVD,
"12-8-2008 / Broomfield, CO / Broomfield Event Center",AUD,FLAC,
"12-13-2008 / Auburn Hills, MI / The Palace of Auburn Hills",AUD,FLAC,
,,,
[2009],,,
"1-12-2009 / Nantes, France / Zenith de Nantes (antoine v.)",AUD,FLAC,
"1-13-2009 / Brussels, Belgium / Forest National (boywiththeblues)",AUD,FLAC,
"1-13-2009 / Brussels, Belgium / Forest National (m2ts-rip)",AUD,FLAC,
"1-13-2009 / Brussels, Belgium / Forest National",AUD,FLAC,
"1-16-2009 / Hamburg, Germany / Alsterdorfer Sporthalle (homer-simpson79)",AUD,FLAC,
"1-21-2009 / Amsterdam, Holland / Heineken Music Hall - AUD(M) (DPA 4060)",AUD,FLAC,
"1-21-2009 / Amsterdam, Holland / Heineken Music Hall",AUD,FLAC,
"1-21-2009 / Amsterdam, Holland / Heineken Music Hall (ffp remaster)",AUD,FLAC,
"1-22-2009 / Amsterdam, Holland / Heineken Music Hall - AUD(M) (DPA 4060)",AUD,FLAC,
"1-28-2009 / Stockholm, Sweden / Globe Arena (Alt Recording - 8 Songs) (wiltteri)",AUD,FLAC,
"1-28-2009 / Stockholm, Sweden / Globe Arena (wiltteri remaster)",AUD,FLAC,
"1-30-2009 / Lille, France / Le Zenith (wisertime06 master)",AUD,FLAC,
"1-31-2009 / Bordeaux, France / Espace Medoquine (trekk)",AUD,FLAC,
"2-2-2009 / Milan, Italy / Datchforum",AUD,MP3,
"2-4-2009 / Dusseldorf, Germany / Philipshalle",AUD,FLAC,
"2-4-2009 / Dusseldorf, Germany / Philipshalle (Sony ECM-717)",AUD,FLAC,
"2-12-2009 / Madrid, Spain / Palacio de Deportes (Edirol R09) (liamskelter)",AUD,FLAC,
"2-13-2009 / Barcelona, Spain / Pavello Olympic de Badalona (johnky)",AUD,FLAC,
"2-15-2009 / Lisbon, Portugal / Pavilhao Atlantico (AT-943) (j.mart)",AUD,FLAC,
"2-15-2009 / Lisbon, Portugal / Pavilhao Atlantico (SP-SPSB-1) (sykor)",AUD,FLAC,
"2-20-2009 / Rome, Italy / PalaLottomatica (CSB) (gnegno) (inc)",AUD,FLAC,
"2-20-2009 / Rome, Italy / PalaLottomatica",AUD,MP3,
"2-23-2009 / Bolzano, Italy / Palaonda",AUD,MP3,
"2-24-2009 / Florence, Italy / Mandela Forum (giuseppe pastorelli)",AUD,FLAC,
"2-26-2009 / Vienna, Austria / Stadthalle (johnky master)",AUD,FLAC,
"3-3-2009 / Paris, France / Palais Omnisports de Paris-Bercy",AUD,MP3,
"3-18-2009 / Nagoya, Japan / Nihon Gaishi Hall *Noel or Sisu!",MTX,FLAC,
"3-20-2009 / Chiba, Japan / Makuhari Messe (johnky)",AUD,FLAC,
"3-22-2009 / Sapporo, Japan / Makomanai Ice Arena (johnky)",AUD,FLAC,
"3-22-2009 / Sapporo, Japan / Makomanai Ice Arena",AUD,FLAC,
"3-24-2009 / Osaka, Japan / Intex Osaka (tom & jerry)",AUD,FLAC,
"3-25-2009 / Osaka, Japan / The Intex Osaka (johnky transfer)",AUD,FLAC,
"3-25-2009 / Osaka, Japan / The Intex Osaka (unk)",AUD,FLAC,
"3-28-2009 / Tokyo, Japan / Makuhari Messe (king_ganesha)",AUD,FLAC,
"3-28-2009 / Tokyo, Japan / Makuhari Messe (DPA-4061)",AUD,FLAC,
"3-29-2009 / Tokyo, Japan / Makuhari Messe (johnky)",IEM,FLAC,
"3-29-2009 / Tokyo, Japan / Makuhari Messe (thethievingmagpie)",MTX,FLAC,
"3-29-2009 / Tokyo, Japan / Makuhari Messe (james remaster)",MTX,FLAC,
"4-1-2009 / Seoul, Korea / Olympic Stadium",AUD,MP3,
"4-7-2009 / Islands Direct, Hong Kong / AsiaWorld-Arena (with soundcheck)",AUD,MP3,
"4-30-2009 / Lima, Peru / Estadio Nacional (SP-CMC-8) (rolandx)",AUD,FLAC,
"5-3-2009 / Buenos Aires, Argentina / Estadio Antonio Vespucio Liberti",FM,FLAC,
"5-3-2009 / Buenos Aires, Argentina / Estadio Antonio Vespucio Liberti (king_ganesha)",SBD  ,FLAC,
"5-3-2009 / Buenos Aires, Argentina / Estadio Antonio Vespucio Liberti (boywiththeblues)",TV,FLAC,
"5-3-2009 / Buenos Aires, Argentina / Estadio Antonio Vespucio Liberti (Metro 95.1)",FM,FLAC,
"5-5-2009 / Santiago, Chile / Movistar Arena",FM,FLAC,
"5-5-2009 / Santiago, Chile / Movistar Arena (roberto saz)",SBD #1,FLAC,
"5-5-2009 / Santiago, Chile / Movistar Arena (Sony ECM-719) (dariohead)",AUD,FLAC,
"5-7-2009 / Rio de Janeiro, Brazil / Citibank Hall (asithappens)",TV,FLAC,
"5-7-2009 / Rio de Janeiro, Brazil / Citibank Hall (Soundcheck)",AUD,MP3,
"5-7-2009 / Rio de Janeiro, Brazil / Citibank Hall",TV,DVD,
"6-4-2009 / Manchester, England / Heaton Park (johnky)",AUD,FLAC,
"6-12-2009 / Cardiff, Wales / Millenium Stadium (tommybagnall)",AUD,FLAC,
"6-12-2009 / Cardiff, Wales / Millenium Stadium",MTX,FLAC,
"6-14-2009 / Vienne, France / Theatre Antique",AUD,FLAC,
"6-14-2009 / Vienne, France / Theatre Antique (twofaces)",AUD,FLAC,
"6-17-2009 / Edinburgh, Scotland / Murrayfield Stadium",AUD,MP3,
"7-2-2009 / Werchter, Belgium / Rock Werchter - Festival Park (steven bladt)",AUD,FLAC,
"7-2-2009 / Werchter, Belgium / Rock Werchter - Festival Park",WEB,MP3,
"7-3-2009 / Roskilde, Denmark / Roskilde Festival",FM,MP3,
"7-7-2009 / Coventry, England / Ricoh Arena (Church Audio STC-11) (unk)",AUD,FLAC,
"7-7-2009 / Coventry, England / The Ricoh Arena (DPA 4061s) (tommybagnall)",AUD,FLAC,
"7-9-2009 / London, England / Wembley Stadium (tommybagnall)",AUD,FLAC,
"7-11-2009 / London, England / Wembley Stadium (Pocketrack)",AUD,FLAC,
"7-12-2009 / London, England / Wembley Stadium (superloggit)",AUD,FLAC,
"7-14-2009 / Cornwall, England / Bodelva - Eden Project (Soundcheck)",IEM,FLAC,
"7-14-2009 / Cornwall, England / Bodelva - Eden Project",IEM,FLAC,
"7-16-2009 / Valencia, Spain / Benicàssim - Benicàssim Castellón",AUD,MP3,
"7-18-2009 / Bern, Switzerland / Gurtenfestival",FM,FLAC,
"7-19-2009 / Gräfenhainichen, Germany - Melt Festival (boywiththeblues)",WEB,FLAC,
"7-21-2009 / London, UK / The Roundhouse - iTunes Festival",FM,FLAC,
"7-24-2009 / Niigata, Japan / Naeba Ski Resort - Fuji Rock Festival (king_ganesha)",AUD,FLAC,
"7-24-2009 / Niigata, Japan / Naeba Ski Resort - Fuji Rock Festival (unk)",AUD,FLAC,
"7-24-2009 / Niigata, Japan / Naeba Ski Resort - Fuji Rock Festival (2020 james remaster)",MTX,FLAC,
"7-26-2009 / Icheon, South Korea / Jisan Valley Rock Festival (Edirol R-09)",AUD,FLAC,
