Pearl Jam,Versions,File Type,,
"5-1-1998 / Manhattan, NY / Ed Sullivan Theatre / Late Show with David Letterman (mz)",TV,FLAC,,
"5-7-1998 / Seattle, WA / ARO.space - ANA(1) (BIC mic) (cps)",AUD,FLAC,,
6-14-1998 / Washington D.C. / RFK Stadium (Tibeten Freedom Concert) (AKG 451) (dEQ),AUD,FLAC,,
6-14-1998 / Washington D.C. / RFK Stadium (Tibeten Freedom Concert) (AKG 451),AUD,FLAC,,
6-14-1998 / Washington D.C. / RFK Stadium (Tibeten Freedom Concert) (2 cam mix) - VHS(1),AUD,DVD,,
6-14-1998 / Washington D.C. / RFK Stadium (Tibeten Freedom Concert) (alvarojam),AUD,DVD,,
"6-20-1998 / Missoula, MT / Washington-Grizzle Stadium - DAT(M) (AKG 460b + CK63) (vikas)",MIX,FLAC,,
"6-21-1998 / Park City, UT / The Canyons - DAT(c) (Schoeps MK5 + Nakamichi CM700) (datfly)",MIX,FLAC,,
"6-23-1998 / Englewood, CO / Fiddler's Green - DAT(M) (Beyer MCE86N) (cps)",AUD,FLAC,,
"6-23-1998 / Englewood, CO / Fiddler's Green - DAT(c) (Schoeps MK5 + Nakamichi CM700) (datfly)",MIX,FLAC,,
"6-24-1998 / Rapid City, SD / Rushmore Civic Center Arena - ANA(M) (Sony ECM-MS907) (cps)",AUD,FLAC,,
"6-26-1998 / East Troy, WI / Alpine Valley (AKG 414 ULS) (analog)",AUD,FLAC 24,,
"6-26-1998 / East Troy, WI / Alpine Valley *Trapped In Wisconsin (SV029) (2 source mix) (thinair mix)",MIX,FLAC,,
"6-27-1998 / East Troy, WI / Alpine Valley (sourced from PRO shot VHS)",SBD #1,FLAC ,,
"6-27-1998 / East Troy, WI / Alpine Valley - DAT(M) (Sony CM44b) (cps)",AUD,FLAC,,
"6-27-1998 / East Troy, WI / Alpine Valley - DAT(M) (SS-DSM 6S) (cps)",AUD,FLAC ,,
"6-27-1998 / East Troy, WI / Alpine Valley *Escape from Wisconsin (SV025) (2 source mix)",MIX,FLAC,,
"6-27-1998 / East Troy, WI / Alpine Valley",PRO,MP4,,
"6-29-1998 / Chicago, IL / United Center - DAT(M) (Sony ECM 44b) (blg transfer)",AUD,FLAC,,
"6-29-1998 / Chicago, IL / United Center - DAT(M) (Shure SM98) (cps)",AUD,FLAC,,
"6-29-1998 / Chicago, IL / United Center *Playground (SV007) (AKG 391b & CK63) (taper remaster)",AUD,FLAC,,
"6-29-1998 / Chicago, IL / United Center (MarcSounds) (tapeworm48)",AUD,FLAC,,
"6-29-1998 / Chicago, IL / United Center",AUD,DVD,,
"6-30-1998 / Minneapolis, MN / Target Center *Significance (SV006) (AKG 391b + CK63) (taper remaster)",AUD,FLAC,,
"6-30-1998 / Minneapolis, MN / Target Center - VHS(2) ",AUD,DVD,,
"7-2-1998 / Maryland Heights, MO / Riverport Amphitheatre (SBD + CCM-4 + ADG460b) (3 source mix)",MIX,FLAC,,
"7-2-1998 / Maryland Heights, MO / Riverport Amphitheatre  - ANA(M) (SS DSM-6)",AUD,FLAC,,
"7-2-1998 / Maryland Heights, MO / Riverport Amphitheatre (SV065F) (3 source mix) (blg mix)",MIX,FLAC,,
"7-3-1998 / Bonner Springs, KS / Sandstone Amphitheatre *Lightning Up the Darkness (SV064)",AUD,FLAC,,
"7-3-1998 / Bonner Springs, KS / Sandstone Amphitheatre - 8MM(M)",AUD,DVD,,
"7-5-1998 / Dallas, TX / Reunion Arena - DAT(c) (CSC) (dan leehr transfer)",AUD,FLAC,,
"7-5-1998 / Dallas, TX / Reunion Arena (Sony TCD-D7) (raw transfer)",AUD,FLAC,,
"7-5-1998 / Dallas, TX / Reunion Arena - ANA(M) (SS-DSM-6P) ",AUD,FLAC,,
"7-5-1998 / Dallas, TX / Reunion Arena (2 cam mix)",AUD,DVD,,
"7-7-1998 / Albuquerque, NM / Tingley Coliseum - ANA(1) (SS-DSM6) (cps)",AUD,FLAC,,
"7-7-1998 / Albuquerque, NM / Tingley Coliseum - CASS (SS DSM-6S) (steve hagar)",AUD,FLAC,,
"7-7-1998 / Albuquerque, NM / Tingley Coliseum - 8MM(M)",AUD,DVD,,
"7-8-1998 / Phoenix, AZ / Veterans Memorial Coliseum - DAT(2) (AKG 460b & CK63) (vikas)",AUD,FLAC,,
"7-8-1998 / Phoenix, AZ / Veterans Memorial Coliseum (SS DSM-6P) ",AUD,FLAC,,
"7-8-1998 / Phoenix, AZ / Veterans Memorial Coliseum",AUD,DVD,,
"7-10-1998 / San Diego, CA / Cox Arena - DAT(c) (AKG460b +CK63) (dan leehr)",AUD,FLAC,,
"7-10-1998 / San Diego, CA / Cox Arena (2 source mix) (CCM4 + MK5)  (blg mix)",AUD,FLAC,,
"7-10-1998 / San Diego, CA / Cox Arena - CASS(M) (SS-DSM-6P) (steve hagar)",AUD,FLAC,,
"7-11-1998 / Las Vegas, NV / Thomas & Mack Center - DAT(M) (SS-DSM6) (cps)",AUD,FLAC,,
"7-13-1998 / Inglewood, CA / The Forum (Vault #6)",SBD,FLAC HD,Official Bootleg,
"7-13-1998 / Inglewood, CA / The Forum (ALD + AKG) (blg mix)",MIX,FLAC,,
"7-13-1998 / Inglewood, CA / The Forum (alvarojam)",AUD,DVD,,
"7-14-1998 / Inglewood, CA / The Forum (ALD + AKG 460b + CK63) (blg mix)",MIX,FLAC,,
"7-16-1998 / Sacramento, CA / Arco Arena (Schoeps CCM4 & MK4) (anon) (sba)",MIX,FLAC,,
"7-16-1998 / Sacramento, CA / Arco Arena - VHS(1) ",AUD,DVD,,
"7-18-1998 / Portland, OR / Rose Garden Arena (Nak 700 + SBD)",MIX,FLAC,,
"7-19-1998 / Vancouver, BC / Pacific Coliseum (Sony ECM-737)",AUD,FLAC,,
"7-19-1998 / Vancouver, BC / Pacific Coliseum (Soundcheck) - ANA(M) (unk) (blg transfer)",AUD,FLAC,,
"7-19-1998 / Vancouver, BC / Pacific Coliseum (low gen VHS)",AUD,DVD,,
"7-21-1998 / Seattle, WA / Memorial Stadium (CCM4 + Nakamichi 700) (blg transfer)",MIX,FLAC,,
"7-21-1998 / Seattle, WA / Memorial Stadium (SP mics)",AUD,FLAC,,
"7-21-1998 / Seattle, WA / Memorial Stadium (3 cam mix)",AUD,DVD,,
"7-22-1998 / Seattle, WA / Memorial Stadium ",SBD,FLAC,,
"7-22-1998 / Seattle, WA / Memorial Stadium (From booleg *Home Free)",SBD,FLAC,,
"7-22-1998 / Seattle, WA / Memorial Stadium (jwb remaster) (SBD Remaster Series 2012)",SBD,FLAC,,
"7-22-1998 / Seattle, WA / Memorial Stadium *Coming Home (SV028) (blg transfer)",SBD,FLAC,,
"7-22-1998 / Seattle, WA / Memorial Stadium - VHS(1)",AUD,DVD,,
"8-17-1998 / Noblesville, IN / Deer Creek Music Theater - DAT(M) (MarcSounds) (tapeworm48)",AUD,FLAC,,
"8-17-1998 / Noblesville, IN / Deer Creek Music Theater - DAT(M) (Core Sound)",AUD,FLAC,,
"8-18-1998 / East Lansing, MI / Breslin Student Events Center",AUD,FLAC,,
"8-20-1998 / Montreal, Quebec / Molson Centre - DAT(M) (Sanken COS-11) (tapeworm48 transfer)",AUD,FLAC,,
"8-20-1998 / Montreal, Quebec / Molson Centre (CSC + Sankin COS-11)",MIX,FLAC,,
"8-20-1998 / Montreal, Quebec / Molson Centre",AUD,DVD,,
"8-22-1998 / Barrie, Ontario / Molson Park (SS DSM 13) ",AUD,FLAC,,
"8-22-1998 / Barrie, Ontario / Molson Park (unk)",AUD,FLAC,,
"8-23-1998 / Auburn Hills, MI / The Palace - DAT(c) (Neumann KM140s) (jr)",AUD,FLAC,,
"8-25-1998 / Pittsburgh, PA / Star Lake Amphitheatre (2 source mix) (SS-DSM13 + CS)",MIX,FLAC,,
"8-26-1998 / Cuyahoga Falls, OH / Blossom Music Center *My City Was Gone (SV034) (2 source mix) (CMC6 + MK4)",MIX,FLAC,,
"8-28-1998 / Camden, NJ / Blockbuster Music Entertainment Centre (SS DSM6)",AUD,FLAC,,
"8-28-1998 / Camden, NJ / Blockbuster Music Entertainment Centre (alvarojam) (Upgrade)",AUD,DVD,,
"8-29-1998 / Camden, NJ / Blockbuster Music Entertainment Centre (MK4 + SS-DSM6) (dcl mix)",MIX,FLAC,,
"8-29-1998 / Camden, NJ / Blockbuster Music Entertainment Centre - DAT(3) (MK4s) (jr)",AUD,FLAC,,
"8-31-1998 / Raleigh, NC / Walnut Creek Amphitheatre (Oade) ",AUD,FLAC,,
"9-1-1998 / Atlanta, GA / Lakewood Amphitheatre *The Weight of the World (SV026) (2 source mix)",MIX,FLAC,,
"9-1-1998 / Atlanta, GA / Lakewood Amphitheatre - VHS(1) ",AUD,DVD,,
"9-3-1998 / Birmingham, AL / BJCC Convention Center Arena (SS DSM-6P) (steve hagar)",AUD,FLAC,,
"9-3-1998 / Birmingham, AL / BJCC Convention Center Arena *Dueling Guitars (SV057) (SS-DSM6) (blg transfer)",AUD,FLAC,,
"9-3-1998 / Birmingham, AL / BJCC Convention Center Arena",AUD,DVD,,
"9-4-1998 / Greenville, SC / Bi-Lo Center (SS-DSM6) ",AUD,FLAC,,
"9-4-1998 / Greenville, SC / Bi-Lo Center *Cleanse (SV005) (Neumann KM-184)",AUD,FLAC,,
"9-4-1998 / Greenville, SC / Bi-Lo Center (unk) (doodee master)",AUD,FLAC,,
"9-6-1998 / Knoxville, TN / Thompson-Boling Arena (SS-DSM6P) ",AUD,FLAC,,
"9-6-1998 / Knoxville, TN / Thompson-Boling Arena - DAT(M) (SS DSM-6S) (cps)",AUD,FLAC,,
"9-7-1998 / Virginia Beach, VA / GTE Virginia Beach Amphitheatre (SS-DSM6P) ",AUD,FLAC,,
"9-7-1998 / Virginia Beach, VA / GTE Virginia Beach Amphitheatre - DAT(c) (SS) (datfly)",AUD,FLAC,,
"9-8-1998 / East Rutherford, NJ / Continental Arena - DAT(M) (MarcSounds) (tapeworm48)",AUD,FLAC,,
"9-8-1998 / East Rutherford, NJ / Continental Arena (AKG 300b)",AUD,FLAC,,
"9-8-1998 / East Rutherford, NJ / Continental Arena - Hi8(M)",AUD,DVD,,
"9-10-1998 / New York, NY / Madison Square Garden (Schoeps MK5 & AKG300b)",MIX,FLAC,,
"9-10-1998 / New York, NY / Madison Square Garden - VHS(1) (2 cam mix) ",AUD,DVD,,
"9-11-1998 / New York, NY / Madison Square Garden *Three Years in NYC (SV011) (Second Remaster) (2 source mix)",MIX,FLAC,,
"9-11-1998 / New York, NY / Madison Square Garden (CSC & MarcSounds) (thinair archive release)",MTX,FLAC,,
"9-11-1998 / New York, NY / Madison Square Garden - VHS(1)",AUD,DVD,,
"9-13-1998 / Hartford, CT / Meadows Music Theater (AKG451 & AT822) ",MIX,FLAC,,
"9-13-1998 / Hartford, CT / Meadows Music Theater *No Belief (SV001) (2 source mix)",MTX,FLAC,,
"9-13-1998 / Hartford, CT / Meadows Music Theater - VHS(1)",AUD,DVD,,
"9-15-1998 / Mansfield, MA / Great Woods (AKG 300b + ECM 717) ",MIX,FLAC,,
"9-16-1998 / Mansfield, MA / Great Woods *The Story of Mansfield (SV013) (2 source mix)",MIX,FLAC,,
"9-16-1998 / Mansfield, MA / Great Woods - VHS(1)",AUD,DVD,,
"9-18-1998 / Columbia, MD / Merriweather Post Pavilion (Countryman Isomax II + SS DSM6)",MIX,FLAC,,
9-19-1998 / Washington D.C. / Constitution Hall (Vault #3),AUD,FLAC HD,Official Bootleg,
9-19-1998 / Washington D.C. / Constitution Hall *Live at Consititution Hall (SV019) (SS DSM6) (fred evans edit),AUD,FLAC,,
9-19-1998 / Washington D.C. / Constitution Hall - Voters For Choice - Hi8(M),AUD,DVD,,
"9-22-1998 / West Palm Beach, FL / Coral Sky Amphitheatre - DAT(M) (KM184s) (datfly)",AUD,FLAC,,
"9-22-1998 / West Palm Beach, FL / Coral Sky Amphitheatre *The Endless Summer (SV049) (SS DSM-6P) (datfly)",AUD,FLAC,,
"9-23-1998 / West Palm Beach, FL / Coral Sky Amphitheatre (Neumann KM-184)",AUD,FLAC,,
"9-23-1998 / West Palm Beach, FL / Coral Sky Amphitheatre *Life (SV012) (CSC) (fred evans edit)",AUD,FLAC,,
"10-10-1998 / Seattle, WA / Crocodile Cafe (2 source mix) (Sony WMD6C + Sony D100)",MIX,FLAC,,
"10-10-1998 / Seattle, WA / Crocodile Cafe (Marcsounds) (jr) (blg edit)",AUD,FLAC,,
"10-10-1998 / Seattle, WA / Crocodile Cafe (Sony WMD6C (phil thenstedt)",AUD,FLAC,,
"11-6-1998 / Boston, MA / Karma Club (Eddie Vedder + Neil Finn)",AUD,FLAC,,
,,,,
[1999],,,,
"10-30-1999 / Mountain View, CA / Shoreline Amphitheater (Bridge School Benefit) ",SBD,FLAC,,
"10-30-1999 / Mountain View, CA / Shoreline Amphitheater (Bridge School Benefit) (PRO Shot Vid source + Schoeps)",MIX,FLAC,,
"10-(30-31)-1999 / Mountain View, CA / Shoreline Amphitheater",PRO,DVD,,
"10-31-1999 / Mountain View, CA / Shoreline Amphitheater (Bridge School Benefit)",SBD,FLAC,,
"10-31-1999 / Mountain View, CA / Shoreline Amphitheater (Bridge School Benefit) (PRO Shot Vid source + Schoeps)",MIX,FLAC,,
,,,,
[2000],,,,
"XX-XX-2000 / Soundchecks (6/25, 8/2, 8/4, 10/7, 10/11, 10/12, 10/22)",AUD,FLAC,,
"4-12-2000 / Manhattan, NY / Ed Sullivan Theatre / Late Show with David Letterman (mz)",TV,FLAC,,
"5-10-2000 / Bellingham, WA / Mt. Baker Theatre (Vault #4)",SBD,FLAC,Official Bootleg,
"5-11-2000 / Vancouver, BC / Commodore Ballroom (CSB) ",AUD,FLAC,,Europe Leg
"5-23-2000 / Lisbon, Portugal / Est?dio Do Restelo ",SBD,FLAC,Official #1,Europe Leg
"5-25-2000 / Barcelona, Spain / Palau Sant Jordi",SBD,FLAC,Official #2,Europe Leg
"5-26-2000 / San Sebastian, Spain / Velodromo de Anoeta",SBD,FLAC,Offical #3,Europe Leg
"5-26-2000 / San Sebastian, Spain / Velodromo de Anoeta - VHS(1) ",AUD,VCD,,Europe Leg
"5-29-2000 / London, England / Wembley Arena",SBD,FLAC,Offical #4,Europe Leg
"5-30-2000 / London, England / Wembley Arena",SBD,FLAC,Official #5,Europe Leg
"5-30-2000 / London, England / Wembley Arena - VHS(1)",AUD,DVD,,Europe Leg
"6-1-2000 / Dublin, Ireland / The Point Theatre",SBD,FLAC,Official #6,Europe Leg
"6-3-2000 / Glasgow, Scotland / SECC",SBD,FLAC,Official #7,Europe Leg
"6-4-2000 / Manchester, England / Manchester Evening News Arena",SBD,FLAC,Official #8,Europe Leg
"6-6-2000 / Cardiff, Wales / Cardiff International Arena ",SBD,FLAC,Official #9,Europe Leg
"6-6-2000 / Cardiff, Wales / Cardiff International Arena - VHS(1) (blinkeye projects)",AUD,DVD,,Europe Leg
"6-8-2000 / Paris, France / Palais Omnisports de Paris-Bercy",SBD,FLAC,Official #10,Europe Leg
"6-9-2000 / N?rburg, Germany / Rock am Ring",SBD,FLAC,Official #11,Europe Leg
"6-11-2000 / Nuremberg, Germany / Rock im Park",SBD,FLAC,Official #12,Europe Leg
"6-(9+11)-2000 / Nuremberg, Germany / Rock im Park",PRO,DVD,,Europe Leg
"6-12-2000 / Landgraaf, Netherlands / Pinkpop Festival",SBD,FLAC,Official #13,Europe Leg
"6-12-2000 / Landgraaf, Netherlands / Pinkpop Festival (wodzjar)",PRO,DVD,,Europe Leg
"6-12-2000 / Landgraaf, Netherlands / Pinkpop Festival (Webcast)",PRO,MPG,,Europe Leg
"6-14-2000 / Prague, Czech Republic / Paegas Arena",SBD,FLAC,Official #14,Europe Leg
"6-14-2000 / Prague, Czech Republic / Paegas Arena - AUD(M)",AUD,DVD,,Europe Leg
"6-15-2000 / Katowice, Poland / Spodek",SBD,FLAC,Official #15,Europe Leg
"6-16-2000 / Katowice, Poland / Spodek",SBD,FLAC,Official #16,Europe Leg
"6-16-2000 / Katowice, Poland / Spodek (VCD Sourced)",AUD,DVD,,Europe Leg
"6-18-2000 / Salzburg, Austria / Residenzplatz",SBD,FLAC,Official #17,Europe Leg
"6-19-2000 / Ljubljana, Slovenia / Hala Tivoli",SBD,FLAC,Official #18,Europe Leg
"6-19-2000 / Ljubljana, Slovenia / Hala Tivoli - VHS(1)",AUD,DVD,,Europe Leg
"6-20-2000 / Verona, Italy / Arena di Verona",SBD,FLAC,Official #19,Europe Leg
"6-20-2000 / Verona, Italy / Arena di Verona - AUD(M)",AUD,DVD,,Europe Leg
"6-22-2000 / Milan, Italy / FILA Forum Arena",SBD,FLAC,Official #20,Europe Leg
"6-22-2000 / Milan, Italy / Fila Forum Arena *Nell'occhio del Beholder (SV040) (2 source mix)",MIX,FLAC,,Europe Leg
"6-22-2000 / Milan, Italy / FILA Forum Arena - AUD(M) (DCR-TR7000)",AUD,DVD,,Europe Leg
"6-23-2000 / Zurich, Switzerland / Hallenstadion",SBD,FLAC,Official #21,Europe Leg
"6-23-2000 / Zurich, Switzerland / Hallenstadion - AUD(M) (DRC-TR7000)",AUD,DVD,,Europe Leg
"6-25-2000 / Berlin, Germany / Wuhlheide",SBD,FLAC,Official #22,Europe Leg
"6-26-2000 / Hamburg, Germany / Alsterdorfer Sporthalle",SBD,FLAC,Official #23,Europe Leg
"6-28-2000 / Stockholm, Sweden / Sj?historiska Museet",SBD,FLAC,Official #24,Europe Leg
"6-29-2000 / Oslo, Norway / Spektrum",SBD,FLAC,Official #25,Europe Leg
"6-29-2000 / Oslo, Norway / Spektrum (metallican)",AUD,DVD,,Europe Leg
"7-12-2000 / Landgraaf, Holland / Pinkpop Festival",SBD #2,FLAC,,Europe Leg
"8-3-2000 / Virginia Beach, VA / GTE Virginia Beach Amphitheatre",SBD,FLAC,Official #26,North America Leg 1
"8-4-2000 / Charlotte, NC / Blockbuster Pavilion",SBD,FLAC,Official #27,North America Leg 1
"8-6-2000 / Greensboro, NC / Greensboro Coliseum",SBD,FLAC,Official #28,North America Leg 1
"8-7-2000 / Atlanta, GA / Philips Arena",SBD,FLAC,Official #29,North America Leg 1
"8-7-2000 / Atlanta, GA / Philips Arena - Hi8(M)",AUD,DVD,,North America Leg 1
"8-9-2000 / West Palm Beach, FL / Mars Music Amphitheatre",SBD,FLAC,Official #30,North America Leg 1
"8-9-2000 / West Palm Beach, FL / Mars Music Amphitheatre - Hi8(M) (leehro)",AUD,DVD,,North America Leg 1
"8-(9-10)-2000 / West Palm Beach, FL / Mars Music Amphitheatre - (global voodoo)",MTX,DVD,,North America Leg 1
"8-10-2000 / West Palm Beach, FL / Mars Music Amphitheatre",SBD,FLAC,Official #31,North America Leg 1
"8-10-2000 / West Palm Beach, FL / Mars Music Amphitheatre",MTX,DVD,,North America Leg 1
"8-12-2000 / Tampa, FL / Ice Palace",SBD,FLAC,Official #32,North America Leg 1
"8-14-2000 / New Orleans, LA / New Orleans Arena",SBD,FLAC,Official #33,North America Leg 1
"8-14-2000 / New Orleans, LA / New Orleans Arena (SS-DSM-6P) (steve hagar)",AUD,FLAC,,North America Leg 1
"8-15-2000 / Memphis, TN / Pyramid Arena",SBD,FLAC,Official #34,North America Leg 1
"8-17-2000 / Antioch, TN / AmSouth Amphitheatre",SBD,FLAC,Official #35,North America Leg 1
"8-18-2000 / Noblesville, IN / Deer Creek Music Center",SBD,FLAC,Official #36,North America Leg 1
"8-18-2000 / Noblesville, IN / Deer Creek Music Center (DCR-TR7000) (master)",AUD,DVD,,North America Leg 1
"8-20-2000 / Cincinnati, OH / Riverbend Music Center",SBD,FLAC,Official #37,North America Leg 1
"8-20-2000 / Cincinnati, OH / River Music Center *Before the Flood (SV047) (3 source mix) (CCM-4 + MK5 + Silver CD)",MIX,FLAC,,North America Leg 1
"8-21-2000 / Columbus, OH / Polaris Amphitheatre",SBD,FLAC,Official #38,North America Leg 1
"8-23-2000 / Wantagh, NY / Jones Beach Amphitheater",SBD,FLAC,Official #39,North America Leg 1
"8-23-2000 / Wantagh, NY / Jones Beach Amphitheater",AUD,DVD,,North America Leg 1
"8-24-2000 / Wantagh, NY / Jones Beach Amphitheater",SBD,FLAC,Official #40,North America Leg 1
"8-24-2000 / Wantagh, NY / Jones Beach Amphitheater",MTX,DVD,,North America Leg 1
"8-25-2000 / Wantagh, NY / Jones Beach Amphitheater",SBD,FLAC,Official #41,North America Leg 1
"8-25-2000 / Wantagh, NY / Jones Beach Amphitheater",AUD,DVD,,North America Leg 1
"8-27-2000 / Saratoga Springs, NY / Saratoga Performing Arts Center",SBD,FLAC,Official #42,North America Leg 1
"8-27-2000 / Saratoga Springs, NY / Saratoga Performing Arts Center - VHS(1)",AUD,DVD,,North America Leg 1
"8-29-2000 / Mansfield, MA / Tweeter Center Boston",SBD,FLAC,Official #43,North America Leg 1
"8-30-2000 / Mansfield, MA / Tweeter Center Boston",SBD,FLAC,Official #44,North America Leg 1
"9-1-2000 / Camden, NJ / Blockbuster Music Entertainment Centre",SBD,FLAC,Official #45,North America Leg 1
"9-2-2000 / Camden, NJ / Blockbuster Music Entertainment Centre",SBD,FLAC,Official #46,North America Leg 1
"9-4-2000 / Columbia, MD / Merriweather Post Pavilion",SBD,FLAC,Official #47,North America Leg 1
"9-5-2000 / Pittsburgh, PA / Post-Gazette Pavilion",SBD,FLAC,Official #48,North America Leg 1
"10-4-2000 / Montreal, Quebec, Canada / Molson Centre",SBD,FLAC,Official #49,North America Leg 2
"10-5-2000 / Toronto, Ontario, Canada / Air Canada Centre",SBD,FLAC,Official #50,North America Leg 2
"10-5-2000 / Toronto, Ontario, Canada / Air Canada Centre - AUD(M) (2 cam mix)",AUD,DVD,,North America Leg 2
"10-7-2000 / Auburn Hills, MI / The Palace of Auburn Hills",SBD,FLAC,Official #51,North America Leg 2
"10-8-2000 / East Troy, WI / Alpine Valley Music Theatre",SBD,FLAC,Official #52,North America Leg 2
"10-9-2000 / Rosemont, IL / Allstate Arena",SBD,FLAC,Official #53,North America Leg 2
"10-11-2000 / Maryland Heights, MO / Riverport Amphitheatre",SBD,FLAC,Official #54,North America Leg 2
"10-12-2000 / Bonner Springs, KS / Sandstone Amphitheater",SBD,FLAC,Official #55,North America Leg 2
"10-14-2000 / The Woodlands, TX / Cynthia Woods Mitchell Pavilion",SBD,FLAC,Official #56,North America Leg 2
"10-15-2000 / The Woodlands, TX / Cynthia Woods Mitchell Pavilion",SBD,FLAC,Official #57,North America Leg 2
"10-15-2000 / The Woodlands, TX / Cynthia Woods Mitchell Pavilion - AUD(M)",AUD,DVD,,North America Leg 2
"10-17-2000 / Dallas, TX / Smirnoff Music Centre",SBD,FLAC,Official #58,North America Leg 2
"10-18-2000 / Lubbock, TX / United Spirit Arena",SBD,FLAC,Official #59,North America Leg 2
"10-20-2000 / Albuquerque, NM / Mesa Del Sol Amphitheatre",SBD,FLAC,Official #60,North America Leg 2
"10-21-2000 / Phoenix, AZ / Desert Sky Pavilion",SBD,FLAC,Official #61,North America Leg 2
"10-22-2000 / Las Vegas, NV / MGM Grand Arena",SBD,FLAC,Official #62,North America Leg 2
"10-22-2000 / Las Vegas, NV / MGM Grand Arena",AUD,DVD,,North America Leg 2
"10-24-2000 / Los Angeles, CA / Greek Theatre",SBD,FLAC,Official #63,North America Leg 2
"10-25-2000 / San Diego, CA / San Diego Sports Arena",SBD,FLAC,Official #64,North America Leg 2
"10-27-2000 / Fresno, CA / Selland Arena",SBD,FLAC,Official #65,North America Leg 2
"10-27-2000 / Fresno, CA / Selland Arena - VHS(1)",AUD,DVD,,North America Leg 2
"10-28-2000 / Devore, CA / Blockbuster Pavilion",SBD,FLAC,Official #66,North America Leg 2
"10-30-2000 / Marysville, CA / Sacramento Valley Amphitheatre",SBD,FLAC,Official #67,North America Leg 2
"10-31-2000 / Mountain View, CA / Shoreline Amphitheatre",SBD,FLAC,Official #68,North America Leg 2
"11-2-2000 / Portland, OR / Rose Garden Arena",SBD,FLAC,Official #69,North America Leg 2
"11-3-2000 / Nampa, ID / Idaho Center",SBD,FLAC,Official #70,North America Leg 2
"11-5-2000 / Seattle, WA / Key Arena",SBD,FLAC,Official #71,North America Leg 2
"11-6-2000 / Seattle, WA / Key Arena",SBD,FLAC,Official #72,North America Leg 2
"11-6-2000 / Seattle, WA / Key Arena - AUD(M)",AUD,DVD,,North America Leg 2
,,,,
[2001],,,,
"10-20-2001 / Mountain View, CA / Shoreline Amphitheatre - Bridge School Benefit (Day 1)",AUD,FLAC,,
"10-21-2001 / Mountain View, CA / Shoreline Amphitheatre - Bridge School Benefit (Day 2)",AUD,FLAC,,
"10-(21-22)-2001 / Mountain View, CA / Shoreline Amphitheatre - Bridge School Benefit (global voodoo)",AUD,DVD,,
"10-22-2001 / Seattle, WA / Groundwork 2001 Benefit *Groundwork (SV048)",WEB,FLAC,,
"10-22-2001 / Seattle, WA / Groundwork 2001 Benefit - AUD(M) ",AUD,DVD,,
"10-22-2001 / Seattle, WA / Groundwork 2001 Benefit (3xc0wb0y YouTube rip)",PRO,MKV,,
,,,,
[2002],,,,
9-18-2002 / KROQ Studios,FM,FLAC,,
"9-23-2002 / Chicago, IL / House of Blues (Schoeps MK4v)",AUD,FLAC,,
"11-10-2002 / Toronto, Ontario / World Album Premiere 'Riot Act' (102.1 The Edge)",FM,FLAC,,
"11-14-2002 / Manhattan, NYC / Ed Sullivan Theatre - Late Show with David Letterman",TV,FLAC,,
"11-14/15-2002 / Manhattan, NYC / Ed Sullivan Theatre - Late Show with David Letterman",TV,FLAC,,
"12-5-2002 / Seattle, WA / The Showbox (Schoeps)",AUD,FLAC,,
"12-6-2002 / Seattle, WA / The Showbox (Audio from Official DVD)",SBD,FLAC,,
"12-8-2002 / Seattle, WA / Key Arena (unk Schoeps)",AUD,FLAC,,
"12-8-2002 / Seattle, WA / Key Arena- VHS(1) (2 cam mix)",AUD,DVD,,
"12-9-2002 / Seattle, WA / Key Arena (Schoeps + Sony DCR-TR7000)",MIX,FLAC,,
"12-9-2002 / Seattle, WA / Key Arena - AUD(M) (leehro)",AUD,DVD,,
,,,,
[2003],,,,
"2-8-2003 / Brisbane, Australia / Brisbane Entertainment Centre",SBD,FLAC,Official Bootleg,Australia/Japan Leg
"2-9-2003 / Brisbane, Australia / Brisbane Entertainment Centre",SBD,FLAC,Official Bootleg,Australia/Japan Leg
"2-11-2003 / Sydney, Australia / Sydney Entertainment Centre",SBD,FLAC,Official Bootleg,Australia/Japan Leg
"2-11-2003 / Sydney, Australia / Sydney Entertainment Centre",AUD,DVD,,Australia/Japan Leg
"2-13-2003 / Sydney, Australia / Sydney Entertainment Centre",SBD,FLAC,Official Bootleg,Australia/Japan Leg
"2-14-2003 / Sydney, Australia / Sydney Entertainment Centre",SBD,FLAC,Official Bootleg,Australia/Japan Leg
"2-16-2003 / Adelaide, Australia / Adelaide Entertainment Centre",SBD,FLAC,Official Bootleg,Australia/Japan Leg
"2-16-2003 / Adelaide, Australia / Adelaide Entertainment Centre - MiniDV(M)",AUD,DVD,,Australia/Japan Leg
"2-18-2003 / Melbourne, Australia / Rod Laver Arena",SBD,FLAC,Official Bootleg,Australia/Japan Leg
"2-18-2003 / Melbourne, Australia / Rod Laver Arena - MiniDV(M)",AUD,DVD,,Australia/Japan Leg
"2-19-2003 / Melbourne, Australia / Rod Laver Arena",SBD,FLAC,Official Bootleg,Australia/Japan Leg
2-20-2003a / The J Files on Triple J Radio (Interviews and Live Recordings) (hs),FM,FLAC,,
"2-20-2003 / Melbourne, Australia / Rod Laver Arena",SBD,FLAC,Official Bootleg,Australia/Japan Leg
"2-20-2003 / Melbourne, Australia / Rod Laver Arena - AUD(M)",AUD,DVD,,Australia/Japan Leg
