 ,Versions,File Type
"6-11-2022 / Stockholm, Sweden / Tele2 Arena (Aiwa CM-TS55) (qew)",AUD,FLAC 24
"6-27-2022 / Dublin, Ireland / Marlay Park (Edirol R09) (sabrewulf) ",AUD,FLAC 24
"7-2-2022 / Paris, France / La Défense Arena (Edirol R09-HR) (coli)",AUD,FLAC
,,
[2023],,
"10-19-2023 / Las Vegas, NV / Fremont Country Club (SKG CK61) (cps)",AUD,FLAC
"11-4-2023 / Paris, France / Bataclan (Edirol R09) (shinkibo)",AUD,FLAC 24
,,
[2024],,
"3-19-2024 / Anaheim, CA / House of Blues (DPA 4081) (faninor) ",AUD,FLAC 24
"4-2-2024 / San Francisco, CA / Fillmore (Schoeps MK4) (loughney)",AUD,FLAC 24
"6-1-2024 / Caja Mágica, Madrid / Road to Rio Babel (iPhone SE) (unaesfingelunar) ",AUD,FLAC 24
"6-5-2024 / Lyon, France / LDLC Arena (SP-CMC-20) (exedore) ",AUD,FLAC
"6-5-2024 / Lyon, France / LDLC Arena (SP-CMC-20) (exedore) NO EQ",AUD,FLAC
"6-7-2024 / Nurnberg, Germany / Rock im Park Nürnberg (Zoom H1n) (red john) ",AUD,FLAC 24
"6-19-2024 / Arnhem, The Netherlands / Gelredome (Zoom iQ7) (frankvink)",AUD,FLAC 24
"8-5-2024 / Flushing, NY / Citi Field (Zoom H4N) (peter)",AUD,FLAC
"8-15-2024 / Maryland Heights, MO / Hollywood Casino Amphitheatre (CA-14) (ryan teske)",AUD,FLAC
"8-22-2024 / Cincinnati, OH / Great American Ball Park (CA-14) (live2cd) ",AUD,FLAC 24
"9-14-2024 / Inglewood, CA / SoFi Stadium (unk)",AUD #1,FLAC
"9-14-2024 / Inglewood, CA / SoFi Stadium (DPA 4081) (faninor)",AUD,FLAC 24
"9-20-2024 / San Francisco, CA / Oracle Park (Schoeps MK4s) (loughney) ",AUD,FLAC 24
,,
[2025],,
"1-30-2025 / Los Angeles, CA / Kia Forum - FireAid",WEB,MP4
"2-21-2025 / Osaka, Japan / Osaka-jou Hall *Ookini Osaka! (GDC Exclusive)",MIX,FLAC
"2-25-2025 / Yokohama, Japan / K-Arena Yokohama *E-Jan Yokohama! {GDC Exclusive) ",MIX,FLAC
"2-26-2025 / Yokohama, Japan / K-Arena Yokohama *Ja-Ne Yokohama! (GDC Exclusive)",MIX,FLAC
"4-12-2025 / Indio, CA / Empire Polo Club - Coachella Festival (1080)",WEB,MKV
"4-19-2025 / Indio, CA / Coachella Music Festival (YouTube capture)",WEB,MP4
"6-17-2025 / Wien, Austria / Stadthalle (Neumann KM140s) (alysha)",AUD,FLAC
"6-22-2025 / Eichenring, Scheebel, Germany / Hurricane Festival (MagentaMusik Livestream) (1080)",WEB,TS
"7-18-2025 / Ottawa, ON / Lebreton Flats (iPhone 16 Pro) (palm0014) ",AUD,FLAC 24
,,
[MISC],,
Green Day - Dookie Demos (surfaced 2019),,FLAC
Green Day - Dookie Demos,,FLAC
Green Day - 3 Song Demo (1992),,FLAC
Green Day - 1994 VH1 Ultimate Albums - Dookie,,MPG
Green Day - [2005-06] Idiot Club Updates,,MOV
Green Day - Studio Videos (2012),,MP4
Green Day - Foot in Mouth (Live EP),,FLAC
Green Day - Unreleased + Rare Songs,,FLAC
Green Day - Woodstock 1994 (2019) [Vinyl Rip],,FLAC HD
Green Day - 2000 Light Years Away (Live) (2019),,FLAC  
Green Day - Light Years Away Radio Broadcast (Live) (2019),,FLAC  
Green Day - Melvin Ate My Guitar {MM 50} (2019),,FLAC  
"Green Day - Live at the Whiskey 7"" (GDC Exclusive)",,FLAC  
,,
[OFFICIAL RELEASES],,
Green Day - Dookie (1994) (24/192) ,,FLAC HD
Green Day - Warning (2000) (24/192),,FLAC HD
Green Day - American Idiot (2004) (24/192) ,,FLAC HD
Green Day - 21st Century Breakdown (2009) (24/96),,FLAC HD
Green Day - The Green Day Collection (2009) (24/96),,FLAC HD
Green Day - Uno... Dos... Tre! (HDTracks 2012) (24/96),,FLAC HD
Green Day - Demolicious (2014),,FLAC
Green Day - Revolution Radio (2016) (24/88.2) ,,FLAC HD
Green Day - Insomniac 1995 (2016) (24/96),,FLAC HD
Green Day - Nimrod 1997 (2016) (24/96),,FLAC HD
Green Day - Greatest Hits - God's Favorite Band (2017) (24/88.2),,FLAC HD
Green Day - International Superhits! (Remastered) (2019) (24/192),,FLAC HD
Green Day - Otis Big Guitar Mix (2020) (24/48),,FLAC HD
Green Day - Dreaming (Single) (2020) (24/48),,FLAC HD
Green Day - Father of All Motherfuckers (2020) (24/44.1),,FLAC HD
Green Day - Insomniac (25th Anniversary Deluxe Edition) (2021) (24/96) ,,FLAC HD
Green Day - Bullet In A Bible (DVD),,MKV
Green Day - Awesome as F**K (DVD),,MKV
Green Day - Cuatro!,,MKV
Green Day - Dookie (30th Anniversary 4-Track Demos) (2023) ,,FLAC HD
Green Day - The Broadcast Collection 1992-1998 (2025),,FLAC
,,
[SINGLES],,
Green Day - Basket Case {W0257CD 9362-41723-2} (1994) ,,FLAC
Green Day - Basket Case {WO279CDX} (1994),,FLAC
Green Day - Basket Case (CDS) {WO279CDX} UK (1994) ,,FLAC
Green Day - Longview  {9362-41602-2} (1994),,FLAC
Green Day - Longview {WO247CD EU} (1994) ,,FLAC
Green Day - Longview {WO287CDX EU} (1994) ,,FLAC
Green Day - Brain Stew Promo CDS {PRO-CD-7895} (1995),,FLAC
Green Day - Geek Stink Breath {WO 320 CD} EU (1995) ,,FLAC
Green Day - Brain Stew-Jaded  {9362-43686-2} {WO339CD} EU (1996),,FLAC
Green Day - Time Of Your Life (Good Riddance) {9362 43971-2} (1997),,FLAC
"Green Day - Redundant, Good Riddance (Time Of Your Life) {5439171612} AUS (1998)",,FLAC
Green Day - Warning {W548CD1} UK (2000) ,,FLAC
Green Day - Know Your Enemy AUS (CDS) {093624 976400} (2009),,FLAC
,,
[SILVERS],,
,,
Green Day - Eating My Bugers - Live in Italy {RB508} (1993) ,Silver CD,FLAC
Green Day - Egocentric Plastic Men {MECD 1193} (1994),Silver CD,FLAC
Green Day - Having a Blast {CM036} (1994),Silver CD,FLAC
Green Day - Boring Days in Paradise {Flash 08.94.0235} (1994),Silver CD,FLAC
Green Day - Green Day {GmbH - imm 40.9329} (1994),Silver CD,FLAC
Green Day - Chicago 1994 {ARR 94.113} (1994),Silver CD,FLAC
Green Day - From Mars Speedway to You (1995),Silver CD,FLAC
Green Day - Attack of Insomnia {MOONRAKER 013} (1995),Silver CD,FLAC
Green Day - Greendaze {OCTO 102} (1995),Silver CD,FLAC
Green Day - The Greenest Hits {KTS011B} (1995),Silver CD,FLAC
Green Day - Noize Boyz {OXY 074} (1996),Silver CD,FLAC
Green Day - Bowling Bowling Bowling Parking Parking {WPCR-789} (1996),Silver CD,FLAC
Green Day - Just Before Bum-Out {W.B. 019} (1999),Silver CD,FLAC
Green Day - Live in Buenos Aires 1998 {SUX-18888-2} (1999),Silver CD,FLAC
Green Day - Sonic Punch {LOOSE 025} (2000),Silver CD,FLAC
Green Day - The House of Blues Myrtle Beach Broadcast 1998 {GSF034} (2018),Silver CD,FLAC
Green Day - On the Radio {SMCD904} (2011),Silver CD,FLAC
,,
,,
,,
,,
,,
,,
,,
,,
,,
The Network,Versions,File Type
Drive - F,,
,,
,,
[2005],,
"10-13-2005 / San Francisco, CA / The Warfield",AUD,FLAC
